session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
jo496rl6,57,a175wr33,3,Intro,Consent,1643635841,1,0,0
jo496rl6,91,89e6wuwf,1,Intro,Welcome,1643635842,1,0,0
jo496rl6,146,gxz9a5nn,0,,InitializeParticipant,1643635842,1,0,0
jo496rl6,147,oofhim17,0,,InitializeParticipant,1643635843,1,0,0
jo496rl6,148,scnfiqeg,0,,InitializeParticipant,1643635843,1,0,0
jo496rl6,149,lvfs23nk,0,,InitializeParticipant,1643635844,1,0,0
jo496rl6,150,gx7vblna,0,,InitializeParticipant,1643635845,1,0,0
jo496rl6,91,89e6wuwf,3,Intro,Consent,1643635845,1,0,0
jo496rl6,153,2cdghf9b,0,,InitializeParticipant,1643635846,1,0,0
jo496rl6,157,uaa91yx7,0,,InitializeParticipant,1643635847,1,0,0
jo496rl6,94,sgn61g84,1,Intro,Welcome,1643635848,1,0,0
jo496rl6,165,xnsk20dz,0,,InitializeParticipant,1643635849,1,0,0
jo496rl6,166,qn7q3xi5,0,,InitializeParticipant,1643635849,1,0,0
jo496rl6,171,awxbot2i,0,,InitializeParticipant,1643635850,1,0,0
jo496rl6,175,9on86ma1,0,,InitializeParticipant,1643635851,1,0,0
jo496rl6,179,au9e0oul,0,,InitializeParticipant,1643635852,1,0,0
jo496rl6,64,ykfo5bgm,1,Intro,Welcome,1643635852,1,0,0
jo496rl6,167,r0t0titx,1,Intro,Welcome,1643635853,1,0,0
jo496rl6,185,xj88h0m6,0,,InitializeParticipant,1643635853,1,0,0
jo496rl6,189,x9z0rrn3,0,,InitializeParticipant,1643635855,1,0,0
jo496rl6,167,r0t0titx,3,Intro,Consent,1643635857,1,0,0
jo496rl6,194,jbzplr1m,0,,InitializeParticipant,1643635857,1,0,0
jo496rl6,196,hxpfosg0,0,,InitializeParticipant,1643635858,1,0,0
jo496rl6,24,i3kioslg,1,Intro,Welcome,1643635858,1,0,0
jo496rl6,198,vqj0j89q,0,,InitializeParticipant,1643635859,1,0,0
jo496rl6,214,cg1oat2a,0,,InitializeParticipant,1643635863,1,0,0
jo496rl6,217,y0m0tzou,0,,InitializeParticipant,1643635864,1,0,0
jo496rl6,16,ys08wudz,3,Intro,Consent,1643635799,1,0,0
jo496rl6,36,ij6f24sz,0,,InitializeParticipant,1643635804,1,0,0
jo496rl6,54,vm9asstw,0,,InitializeParticipant,1643635812,1,0,0
jo496rl6,18,jp5j63qx,1,Intro,Welcome,1643635815,1,0,0
jo496rl6,37,1zs7n37b,3,Intro,Consent,1643635815,1,0,0
jo496rl6,25,iu24duhh,3,Intro,Consent,1643635815,1,0,0
jo496rl6,7,q3cbyi7h,4,belief_survey,Instructions,1643635818,1,0,0
jo496rl6,18,jp5j63qx,3,Intro,Consent,1643635819,1,0,0
jo496rl6,33,k9wwdmm1,3,Intro,Consent,1643635819,1,0,0
jo496rl6,58,3rar2o9n,1,Intro,Welcome,1643635822,1,0,0
jo496rl6,76,40iain90,0,,InitializeParticipant,1643635822,1,0,0
jo496rl6,36,ij6f24sz,3,Intro,Consent,1643635822,1,0,0
